Profit,Entry Name,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
0,R1 Sell,109.984375,109.90625,109.921875,109.921875,20186,109.84375,109.9375,109.859375,109.875,109.921875,22078,109.8125,109.90625,109.8125,109.859375,109.875,19739,109.9023438,1,-0.15625,9.201355356,-14.90196078,0.071290105,1,24.51855851,-0.014114011,0,43.0201179,1,-0.071,-11723,24.51855851,-0.363636364,0,47.77701018,0,0,45.07609795,144500,1,56.24564085,-57.14285714,0.84057971,1,-19.04697248,0.652264678,1,31.90504942,Friday
0,R1 Sell,109.90625,109.84375,109.84375,109.859375,3634,109.8320313,109.875,109.84375,109.859375,109.84375,2877,109.8242188,109.859375,109.828125,109.828125,109.84375,2118,109.8164063,1,0.09375,-32.69744372,137.5130617,0.031678399,0,23.84149315,0.008413462,1,72.539676,1,0.471,-54078,23.84149315,1,0,58.26530612,100,0,31.56085749,90000,0,77.25415297,-30,1.130434783,1,69.73551203,1,0,33.16004285,Monday
0,R1 Buy,109.859375,109.796875,109.796875,109.828125,5114,109.8320313,109.78125,109.71875,109.75,109.78125,5533,109.84375,109.796875,109.734375,109.765625,109.765625,11235,109.8671875,1,0.0625,-26.57638094,45.52845528,0.044275608,1,20.26486837,0.002026099,1,57.88270651,1,-0.084,-57546,20.26486837,0.2,1,56.39868068,60,1,44.66197013,100000,0,54.80958129,-41.66666667,1,1,4.333419103,0.474812668,0,27.04509926,Monday
0,R1 Buy,109.484375,109.390625,109.46875,109.40625,4663,109.4921875,109.46875,109.40625,109.4375,109.46875,4345,109.4101563,109.515625,109.4375,109.484375,109.4375,8002,109.3945313,1,0,-1.099614953,64.47368421,0.058177197,1,23.22334213,0.011778846,0,49.72711066,1,0.232,-92694,23.22334213,0.666666667,0,38.69045598,80,1,49.02966777,124500,1,59.64279758,-41.17647059,1,0,12.87076177,0.665563756,1,28.67425565,Tuesday
0,R1 Buy,109.546875,109.46875,109.46875,109.515625,22817,109.5585938,109.546875,109.46875,109.546875,109.484375,20575,109.5625,109.59375,109.515625,109.53125,109.546875,19614,109.578125,0,-0.0625,-5.774750988,-107.6023392,0.067813868,0,30.29641163,-0.009100275,0,48.83141784,1,-0.232,-69591,30.29641163,-0.181818182,1,64.11190545,30,1,58.17721059,154500,0,53.48239716,-78.57142857,0.923076923,1,-17.95749092,0.133949865,0,34.55913012,Wednesday
1,R1 Buy,109.484375,109.4375,109.453125,109.46875,9704,109.5429688,109.515625,109.421875,109.5,109.453125,38569,109.5585938,109.59375,109.5,109.578125,109.515625,23114,109.484375,0,-0.125,-3.951642091,-126.8817204,0.070225558,0,24.84091393,-0.012362637,0,44.30619473,1,-0.286,-91984,24.84091393,-0.47826087,1,53.59570207,0,1,52.52990701,164500,0,54.72541214,-82.35294118,0.897058824,0,-20.90435042,0.065974768,0,36.6697505,Wednesday
0,R1 Buy,110.421875,110.375,110.390625,110.40625,2416,110.4179688,110.421875,110.375,110.375,110.390625,2377,110.421875,110.40625,110.328125,110.40625,110.375,5394,110.4296875,0,0,4.745981226,-64.51612903,0.043539818,1,33.37544262,-0.003846154,1,58.02843861,1,-0.282,232061,33.37544262,-0.777777778,1,62.71095307,0,1,43.85856933,84500,0,52.66952458,-54.54545455,0.942857143,1,-4.288526924,0.229385984,0,38.0695279,Thursday
1,R1 Buy,110.40625,110.296875,110.328125,110.390625,15597,110.421875,110.40625,110.3125,110.40625,110.328125,9808,110.4296875,110.421875,110.375,110.40625,110.40625,6164,110.390625,0,-0.046875,0.931689121,-127.2727273,0.055444459,0,23.72382969,-0.001098901,0,50.8929829,1,-0.099,231480,23.72382969,-0.384615385,1,52.50532536,30,1,59.5817538,110000,0,41.37643893,-45.45454545,0.830188679,0,-12.18806,0.402026237,0,40.47754255,Thursday
1,R1 Buy,110.609375,110.53125,110.5625,110.59375,17218,110.6054688,110.5625,110.46875,110.53125,110.5625,26620,110.6132813,110.609375,110.515625,110.609375,110.53125,14748,110.6523438,0,0.265625,28.71184073,15.85760518,0.079798748,1,25.33126748,0.010336538,1,56.97409184,1,0.049,280266,25.33126748,0.238095238,1,66.09790174,50,1,44.33671219,141500,0,42.60176911,-29.62962963,1.149425287,1,7.016621722,0.264506438,0,26.27974119,Thursday
0,R1 Buy,110.71875,110.703125,110.703125,110.71875,360,110.7226563,110.71875,110.703125,110.703125,110.703125,70,110.7304688,110.71875,110.703125,110.71875,110.703125,568,110.7109375,1,0.109375,0.903858047,67.78711485,0.034801411,1,19.34309429,0.010130495,0,57.3197997,1,0.462,359697,19.34309429,0.636363636,0,44.66032204,60,1,34.72037995,71500,1,41.89688559,-20,1.2,1,27.19691566,0.826137451,1,28.90862874,Friday
1,R1 Buy,110.671875,110.578125,110.609375,110.65625,19088,110.6992188,110.65625,110.578125,110.625,110.625,13982,110.7265625,110.71875,110.609375,110.6875,110.640625,12562,110.7460938,0,0.015625,-10.09934354,-35.46666667,0.068500581,1,14.17407292,0.006284341,1,47.92697328,1,0.009,335299,14.17407292,0.058823529,1,37.55390035,60,1,57.27262864,143000,0,44.73659528,-53.33333333,0.955882353,1,-8.490359472,0.551733003,1,19.55557262,Friday
1,R1 Buy,111.203125,111.171875,111.1875,111.203125,7900,111.21875,111.203125,111.171875,111.203125,111.1875,6268,111.2265625,111.234375,111.1875,111.21875,111.203125,4466,111.2304688,0,-0.015625,11.73617463,-95.00998004,0.043968493,0,45.16846161,-0.006799451,1,49.36508264,1,-0.199,493115,45.16846161,-0.454545455,1,53.72586408,10,1,50.76715577,101500,0,37.98585975,-81.81818182,0.928571429,1,-21.12839498,0.114374758,0,49.05992936,Monday
0,R1 Buy,111.390625,111.328125,111.328125,111.375,22527,111.390625,111.359375,111.3125,111.359375,111.328125,21097,111.4101563,111.390625,111.296875,111.375,111.34375,23877,111.4335938,0,-0.046875,-8.148178888,-94.95268139,0.065445663,1,40.59872981,-0.007554945,1,52.13137795,1,-0.063,442578,40.59872981,-0.176470588,1,58.80122134,40,1,55.77054041,170000,0,54.12540928,-64.28571429,0.93442623,1,-12.09420334,0.207796516,0,42.47653404,Monday
0,R1 Sell,111.265625,111.21875,111.234375,111.25,3853,111.2148438,111.265625,111.21875,111.234375,111.234375,5521,111.2109375,111.28125,111.21875,111.28125,111.234375,5239,111.2109375,1,0,-27.12073839,83.33333333,0.037108293,0,20.26265506,0.001785714,0,53.47246085,1,0.074,412320,20.26265506,1,0,56.26984127,80,0,64.59685711,100000,0,49.51894412,-33.33333333,1,0,11.19053314,0.614143548,0,26.93895478,Tuesday
0,R1 Buy,111.484375,111.390625,111.390625,111.484375,13240,111.4882813,111.453125,111.390625,111.40625,111.390625,11099,111.4960938,111.5,111.40625,111.5,111.421875,13119,111.5,1,0.09375,18.88392791,60.31746032,0.057022752,1,27.61277887,0.005872253,1,53.742906,1,0.062,717321,27.61277887,0.375,1,38.87394352,70,1,60.98533345,141500,1,37.28832379,-18.18181818,1.018181818,1,5.139861013,0.854818349,1,36.72305663,Wednesday
0,R1 Sell,111.5,111.4375,111.46875,111.46875,25981,111.453125,111.5625,111.453125,111.53125,111.484375,17979,111.4414063,111.5625,111.484375,111.5,111.53125,15221,111.4257813,0,0.078125,11.1809218,28.72872873,0.065180002,0,24.35450743,0.007417582,1,50.11337276,1,0.003,710722,24.35450743,0.222222222,0,49.2405346,90,0,58.17721059,151500,0,43.13010402,-42.85714286,1.092307692,0,8.361978847,0.703848568,0,40.63427781,Wednesday
0,R1 Sell,111.46875,111.40625,111.453125,111.40625,17570,111.3789063,111.46875,111.375,111.390625,111.453125,25625,111.359375,111.40625,111.34375,111.390625,111.390625,39498,111.4140625,0,-0.078125,4.837520646,-18.13471503,0.074280049,1,19.66140554,-0.008962912,0,46.87617654,1,-0.126,634866,19.66140554,-0.25,1,55.998076,40,0,59.53704309,174500,1,48.08175489,-62.5,1.012987013,1,-3.889527354,0.42857259,1,25.61660639,Wednesday
0,R1 Sell,111.390625,111.375,111.390625,111.390625,4537,111.375,111.453125,111.390625,111.421875,111.390625,11218,111.3632813,111.421875,111.375,111.390625,111.40625,3872,111.3476563,1,0.046875,-21.66123911,40.83333333,0.062825323,0,14.22466375,0.001407967,1,51.70733232,0,-0.106,629436,14.22466375,0.25,1,41.73881674,90,0,58.37103361,230000,0,55.69545879,-33.33333333,1.107142857,1,13.64107073,0.862653677,0,22.58242042,Wednesday
1,R1 Buy,111.375,111.28125,111.359375,111.328125,40795,111.3789063,111.359375,111.296875,111.328125,111.359375,43353,111.3945313,111.359375,111.28125,111.34375,111.328125,61092,111.4101563,0,-0.109375,0.193638307,-125,0.067950018,0,16.11965758,-0.009684066,1,41.96990488,1,-0.238,507981,16.11965758,-1,1,44.9399278,10,1,58.17721059,164500,0,40.14156737,-78.57142857,0.892307692,1,-24.80563759,0.055513082,0,22.83878248,Thursday
0,R1 Buy,111.546875,111.53125,111.546875,111.53125,201,111.5546875,111.578125,111.515625,111.515625,111.546875,1385,111.5546875,111.546875,111.515625,111.53125,111.546875,3821,111.5507813,1,-0.015625,-20.30988275,30.0330033,0.046582401,0,26.09737839,0.000309066,0,55.85031555,0,-0.058,533889,26.09737839,0.333333333,0,60.30493316,90,1,65.72805509,3000,1,57.11418939,-50,1,0,14.5375711,0.285525791,0,32.69749142,Friday
0,R1 Buy,111.5,111.46875,111.484375,111.5,3295,111.5390625,111.53125,111.484375,111.515625,111.484375,5354,111.5507813,111.578125,111.515625,111.546875,111.515625,3935,111.5585938,0,0,-18.19325204,-165.0793651,0.032324373,1,12.51124497,-0.000961538,0,45.14900315,1,-0.208,529103,12.51124497,-0.2,1,56.93499622,80,1,52.52990701,90000,0,40.82023203,-71.42857143,0.857142857,1,-18.23060804,0.187182612,0,17.85014915,Friday
0,R1 Buy,111.5625,111.515625,111.53125,111.546875,2847,111.5585938,111.546875,111.515625,111.53125,111.53125,4984,111.5546875,111.578125,111.515625,111.546875,111.515625,8034,111.5703125,1,0,0.230842756,29.78723404,0.039185184,1,16.17254433,0.00051511,1,52.77131075,1,0.124,539126,16.17254433,0.333333333,1,63.66843034,50,1,57.45792152,110000,0,56.28352821,-44.44444444,0.951219512,1,1.960435105,0.562635805,0,18.17556124,Friday
0,R1 Buy,111.546875,111.5,111.5,111.53125,2107,111.546875,111.53125,111.5,111.5,111.515625,5448,111.546875,111.546875,111.484375,111.515625,111.5,6189,111.5546875,0,-0.015625,3.089040019,-57.37704918,0.044603069,0,20.04873868,-0.003708791,1,50.20720749,1,-0.003,537989,20.04873868,0.5,0,48.5978836,40,1,65.44840571,124500,0,51.79546617,-62.5,0.977777778,1,-6.14654725,0.348025171,0,20.75301372,Friday
0,R1 Buy,110.859375,110.828125,110.828125,110.828125,279,110.8515625,110.84375,110.84375,110.84375,110.84375,89,110.8515625,110.859375,110.8125,110.828125,110.84375,820,110.8515625,0,-0.078125,-3.061837649,-58.16425121,0.033012786,0,17.92698564,-0.004876374,0,43.04983473,0,-0.354,156063,17.92698564,-0.428571429,0,48.30687831,10,1,54.07674701,71500,0,46.91342427,-83.33333333,0.76,0,-20.1939928,0.109699629,0,20.99957233,Monday
0,R1 Buy,110.890625,110.84375,110.890625,110.875,7574,110.9101563,110.921875,110.859375,110.875,110.890625,5092,110.921875,110.90625,110.859375,110.890625,110.875,1531,110.9296875,0,0.046875,9.473244416,-5.291005291,0.042468088,1,16.34831331,0.004635989,0,50.64864803,1,-0.015,160841,16.34831331,0.4,1,45.82010582,50,1,55.56291075,93000,0,43.68456241,-55.55555556,1,1,3.90582742,0.406299429,1,22.84846128,Monday
0,R1 Sell,110.953125,110.875,110.953125,110.90625,16924,110.8671875,110.96875,110.90625,110.921875,110.9375,15245,110.8632813,110.96875,110.875,110.90625,110.921875,15468,110.84375,1,0.046875,5.821623966,95.93495935,0.065821775,0,13.81167485,0.007520604,1,53.83045855,1,0.088,207449,13.81167485,-0.111111111,0,48.86148684,90,0,64.0183372,151500,0,44.65801912,-33.33333333,1.046153846,1,22.36123357,0.693400658,0,22.04545405,Monday
0,R1 Buy,110.875,110.828125,110.828125,110.875,2950,110.8945313,110.875,110.8125,110.875,110.828125,5157,110.9023438,110.90625,110.875,110.890625,110.875,2170,110.875,1,0.015625,-3.797111262,-51.85185185,0.033108298,0,18.56662431,-0.000274725,1,47.86705061,1,-0.255,286734,18.56662431,-0.2,1,50.72562358,70,1,51.15185266,90000,0,45.36673807,-42.85714286,0.888888889,1,-7.618092448,0.65739306,1,26.25316977,Tuesday
0,R1 Buy,110.921875,110.90625,110.90625,110.90625,2371,110.9101563,110.90625,110.859375,110.875,110.90625,2412,110.9140625,110.90625,110.859375,110.875,110.875,4831,110.9296875,0,0,0.864804671,51.57232704,0.041236527,1,13.08896571,0.002232143,1,51.89664,1,0.237,301292,13.08896571,0.384615385,0,50.07936508,50,1,56.14143067,113000,0,44.76290082,-40,1.045454545,1,3.87004407,0.692460375,1,18.75596799,Tuesday
0,R1 Sell,110.390625,110.34375,110.375,110.375,4760,110.3515625,110.40625,110.34375,110.390625,110.375,4033,110.3554688,110.421875,110.359375,110.40625,110.390625,4726,110.3515625,0,-0.015625,-10.37770528,13.33333333,0.054942421,0,18.20695445,0.00418956,1,50.5118879,0,0.08,-81092,18.20695445,0.111111111,1,55.66728245,80,0,68.67523248,131500,0,50.70453498,-37.5,1.020408163,0,7.280285049,0.517677499,0,30.78616429,Wednesday
0,R1 Buy,110.390625,110.328125,110.375,110.34375,29704,110.3710938,110.390625,110.3125,110.3125,110.375,29884,110.3671875,110.328125,110.265625,110.28125,110.328125,12346,110.3789063,0,0.046875,10.78677302,21.48760331,0.070105694,1,15.4954053,0.003983516,1,48.8963704,1,0.079,-94451,15.4954053,0.2,1,50.65846852,30,1,57.825811,170000,1,43.6392197,-53.33333333,1.028985507,1,-1.373965116,0.468987709,0,16.76881923,Wednesday
1,R1 Buy,110.375,110.34375,110.375,110.359375,3303,110.3945313,110.390625,110.34375,110.359375,110.375,4358,110.40625,110.40625,110.375,110.40625,110.375,3751,110.421875,0,-0.09375,-17.73549045,-124.4861483,0.057744389,0,12.67742355,-0.010473901,1,43.23851561,0,-0.403,-122219,12.67742355,-1,0,43.92508363,0,1,43.39171762,230000,0,30.00919454,-92.85714286,0.886363636,1,-27.92791909,0,0,16.07150642,Wednesday
